Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,1675815430,1678701904,1636128906,1662240234,1662240234,5738920711
2023-04-04,1661513062,1687749146,1633691162,1659790894,1659790894,8842048318
2023-04-05,1659648682,1732159912,1653407471,1707499878,1707499878,9489623344
2023-04-06,1707463379,1767555786,1701722168,1750968750,1750968750,9464417493
2023-04-07,1750995728,1751113403,1704934082,1715156982,1715156982,7567141866
2023-04-08,1714984375,1724261353,1691096558,1696609375,1696609375,7599065070
2023-04-09,1695739136,1708860596,1681637329,1682203613,1682203613,4562612658
2023-04-10,1682361938,1718026245,1663286865,1703816528,1703816528,5829243924
2023-04-11,1704140381,1764615967,1704389893,1758280273,1758280273,7709589451
2023-04-12,1758435181,1779589844,1728327637,1733353638,1733353638,8132042230
2023-04-13,1733133789,1755858032,1702428467,1746487793,1746487793,10012108474
2023-04-14,1743774536,1830539307,1729277954,1821067993,1821067993,11352706657
2023-04-15,1822240723,1922383789,1820175049,1892768677,1892768677,14678345398
2023-04-16,1892751465,1901270386,1870140869,1884680664,1884680664,7238430792
2023-04-17,1884513306,1945184082,1870598389,1929989746,1929989746,7190217746
2023-04-18,1929985474,1930007202,1884713745,1900511841,1900511841,8832210776
2023-04-19,1900156982,1933816284,1883117432,1917553345,1917553345,8322476165
2023-04-20,1917014893,1917693359,1761546387,1768108643,1768108643,12582133994
2023-04-21,1768121948,1801692871,1750606934,1771603760,1771603760,10324689864
2023-04-22,1771888428,1783123657,1663075928,1667192139,1667192139,10854119588
2023-04-23,1666549194,1700339355,1663451660,1689026733,1689026733,6281838665
2023-04-24,1688975220,1696237183,1673413208,1694036987,1694036987,6011221835
2023-04-25,1694058228,1718078735,1641786255,1666529053,1666529053,7631221785
2023-04-26,1666028809,1710546509,1643553223,1700444580,1700444580,7904198791
2023-04-27,1699893677,1775511353,1624278687,1689918213,1689918213,12997866269
2023-04-28,1690035034,1756944824,1686825195,1730297729,1730297729,12698258100
2023-04-29,1730738892,1748551636,1700550903,1700801270,1700801270,6912584472
2023-04-30,1700848145,1722734497,1696737061,1715494019,1715494019,4310625762
2023-05-01,1715336182,1742005859,1704600098,1704600098,1704600098,5939224350
2023-05-02,1697304443,1713818481,1648241943,1670152832,1670152832,7863936777
2023-05-03,1669944824,1708479614,1660150391,1699035889,1699035889,6844848540
2023-05-04,1698943115,1730091064,1672374634,1720744385,1720744385,7504350685
2023-05-05,1721211548,1732913574,1696351440,1703432495,1703432495,5967886803
2023-05-06,1703549561,1789665283,1703143188,1779614258,1779614258,8472544115
2023-05-07,1779987427,1799683228,1668598877,1695016846,1695016846,8584029021
2023-05-08,1694745483,1725145874,1699959229,1699959229,1699959229,6247700759
2023-05-09,1699413452,1711320557,1652260498,1681436279,1681436279,8998161296
2023-05-10,1681452881,1697258057,1666303101,1685963013,1685963013,5590241263
2023-05-11,1685607666,1715167480,1636815063,1677561768,1677561768,9055721280
2023-05-12,1677644409,1677644409,1624984741,1646314819,1646314819,7655498388
2023-05-13,1645110596,1656737549,1594647949,1652710815,1652710815,8270044296
2023-05-14,1653035645,1660059082,1634845581,1642162720,1642162720,4249263832
2023-05-15,1642156372,1667192139,1650737061,1658972656,1658972656,4340885560
2023-05-16,1658853027,1696679565,1647152222,1671540649,1671540649,6206730818
2023-05-17,1670873291,1684307861,1652960938,1678780884,1678780884,5150090389
