token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xdac17f958d2ee523a2206206994597c13d831ec7,0x4c9af439b1a6761b8e549d8d226a468a6b2803a8,0xecc64e3f8126d270d6b4727614c77b18155f3253,64020000,0x5d6874919004a2b03e65fa97f11b31120ed093dde205545965ab05c3eb5c5784,114,18978723
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xacfc50ec5fe0fd039e83380b8ab343b77a49704f,0x802920f421be5873f53ebdd8d88778fc94fd9186,615505634271428608,0xd611e962a27093579d514c15ecced0da3fd67d386ab8522a4f922180c68553d8,14,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x0f8f67a30f567e0b181600d7e7ef5d4d00352e85,0x73c92c83bc501f65105256ad80999140d891ebb2,270000000,0x42af02779e3c5e6b200b0725a532f0a24b6d929c02b8cae044afeead839bbfef,215,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x3058ef90929cb8180174d74c507176cca6835d73,294324975000,0x044348c7168b8563dcf794004bc941ff980a33dd9e50b23c68e326307dfe561c,459,18978723
0x12787526c03d626aac88e6edc4d0fb930d86c631,0x5b0f44082743e72b440ceb6eb530ac83e95eba25,0x70c7af7a78b5453e4a09376eb2b506ce4e4140e5,615,0x89f2eb96760d935f6b432eafed1571910516904cb2db424474ec8ed682b5ca7f,314,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x4f6885a1581a49a4d2bcc01f7eb85fb90462a164,0xb327f5b0b04ac1273df13fd479608e0d45077f4d,2000000000,0x810abd8d09f06b7b5d09b02903d35f662c8d4b6c68c6b2ca149a915730c52b35,116,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,5442910156,0xf4c9b0c1c30192fa24d28e2b4374384d0193a30f2d1fbea704c1d46dcaa958e1,18,18978723
0x423f4e6138e475d85cf7ea071ac92097ed631eea,0xa06591252908576a0f64a8560ec0c8051782377c,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,281923085547653231932078751,0xe5769275371fa18e3853f29581654822d98442b3188dad6fa512afa42d833cbc,217,18978723
0x6b175474e89094c44da98b954eedeac495271d0f,0x3058ef90929cb8180174d74c507176cca6835d73,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,294411054113471687591469,0x044348c7168b8563dcf794004bc941ff980a33dd9e50b23c68e326307dfe561c,460,18978723
0x12787526c03d626aac88e6edc4d0fb930d86c631,0x5b0f44082743e72b440ceb6eb530ac83e95eba25,0x70c7af7a78b5453e4a09376eb2b506ce4e4140e5,1946,0x89f2eb96760d935f6b432eafed1571910516904cb2db424474ec8ed682b5ca7f,317,18978723
0x519c1001d550c0a1dae7d1fc220f7d14c2a521bb,0x04ed15a29addad1e8189026d17879403997050a3,0xc36442b4a4522e871399cd717abdd847ab11fe88,5445956427637070200519737,0xc9975e65e4f93e093ae3b1f2940efbb23e60ef337c7ec3a30400e08e1905bf02,119,18978723
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x11b815efb8f581194ae79006d24e0d814b7697f6,2200000000000000000,0xf4c9b0c1c30192fa24d28e2b4374384d0193a30f2d1fbea704c1d46dcaa958e1,19,18978723
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xa06591252908576a0f64a8560ec0c8051782377c,50633686291043493,0xe5769275371fa18e3853f29581654822d98442b3188dad6fa512afa42d833cbc,218,18978723
0x6b175474e89094c44da98b954eedeac495271d0f,0x3058ef90929cb8180174d74c507176cca6835d73,0x95c4f5b83aa70810d4f142d58e5f7242bd891cb0,2944139982534542221,0x044348c7168b8563dcf794004bc941ff980a33dd9e50b23c68e326307dfe561c,461,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0xf6e55ede3c13d13ae97a4032b8b28030eec6f6d9,0x6bfbb4e87b3ad1f6efa0268c13718d22fb9e12b0,2500000000,0xef83ae8ad59d9c4ac50018bbc60556bc42818ad0b47dcedd1b2d15ef32827ff5,319,18978723
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x04ed15a29addad1e8189026d17879403997050a3,0xc36442b4a4522e871399cd717abdd847ab11fe88,4965727343214116412,0xc9975e65e4f93e093ae3b1f2940efbb23e60ef337c7ec3a30400e08e1905bf02,120,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x37a8f295612602f2774d331e562be9e61b83a327,8164365,0xf4c9b0c1c30192fa24d28e2b4374384d0193a30f2d1fbea704c1d46dcaa958e1,21,18978723
0x423f4e6138e475d85cf7ea071ac92097ed631eea,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x17cc6042605381c158d2adab487434bde79aa61c,2819230855476532319320787,0xe5769275371fa18e3853f29581654822d98442b3188dad6fa512afa42d833cbc,220,18978723
0x6b175474e89094c44da98b954eedeac495271d0f,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x171c53d55b1bcb725f660677d9e8bad7fd084282,1682215181661895062757277,0x044348c7168b8563dcf794004bc941ff980a33dd9e50b23c68e326307dfe561c,464,18978723
0x423f4e6138e475d85cf7ea071ac92097ed631eea,0xa06591252908576a0f64a8560ec0c8051782377c,0xcc60a10a31e05a1fd3e8a5872e0ad9de0e9a7325,665697856344397606701354367,0x7ead7edd405e3031ae331d7679acdc2831ef72db525bcd1b0c02d8c4154fab26,321,18978723
